description,amount,category
Loan EMI,9097.88,liability
Interest Credit,5038.58,income
FD Deposit,2665.95,asset
Bonus Received,8101.24,income
Freelance Payment,5657.49,income
FD Deposit,2433.08,asset
Mutual Fund Investment,6361.14,asset
Loan EMI,9397.02,liability
Freelance Payment,2678.71,income
Credit Card Bill,9094.03,liability
FD Deposit,3952.54,asset
Loan EMI,8783.67,liability
Uber Ride,3743.32,expense
Uber Ride,2043.94,expense
FD Deposit,9839.12,asset
Swiggy Order,3537.26,expense
Gold Investment,4302.14,asset
Car Loan EMI,9790.71,liability
Loan EMI,5087.03,liability
Stock Purchase,3997.14,asset
Electricity Bill,6932.08,expense
Amazon Purchase,241.0,expense
Amazon Purchase,9917.92,expense
Bonus Received,4256.23,income
Swiggy Order,7178.77,expense
Credit Card Bill,5340.6,liability
Freelance Payment,6655.89,income
Bonus Received,4816.73,income
Home Loan Interest,7005.04,liability
Mutual Fund Investment,1818.86,asset
Credit Card Bill,3340.04,liability
Salary Credit,8237.19,income
Stock Purchase,7390.48,asset
Interest Credit,6100.75,income
Credit Card Bill,7322.01,liability
Swiggy Order,5754.25,expense
Freelance Payment,4324.08,income
Amazon Purchase,5311.26,expense
Car Loan EMI,7578.85,liability
Gold Investment,4378.08,asset
Bonus Received,8115.11,income
Stock Purchase,4144.23,asset
Swiggy Order,4893.47,expense
FD Deposit,8524.37,asset
Car Loan EMI,9160.83,liability
Swiggy Order,8961.68,expense
Amazon Purchase,8137.99,expense
Car Loan EMI,4817.73,liability
Amazon Purchase,3397.23,expense
Salary Credit,8839.19,income
Car Loan EMI,7885.73,liability
Mutual Fund Investment,7782.78,asset
Car Loan EMI,1399.57,liability
Gold Investment,1059.14,asset
Salary Credit,4643.63,income
Interest Credit,4665.65,income
Stock Purchase,9200.93,asset
Salary Credit,434.14,income
Bonus Received,8315.82,income
Mutual Fund Investment,6901.17,asset
FD Deposit,116.26,asset
Electricity Bill,5495.47,expense
Credit Card Bill,3448.66,liability
Stock Purchase,7235.11,asset
Uber Ride,333.98,expense
Car Loan EMI,1004.66,liability
Home Loan Interest,9888.01,liability
Gold Investment,7559.29,asset
Salary Credit,4833.12,income
Salary Credit,6422.0,income
Uber Ride,3803.49,expense
Credit Card Bill,8388.3,liability
Stock Purchase,2732.56,asset
Bonus Received,8290.46,income
Stock Purchase,1367.96,asset
Amazon Purchase,560.26,expense
Interest Credit,6224.08,income
FD Deposit,2769.31,asset
Amazon Purchase,9751.29,expense
Interest Credit,759.38,income
Interest Credit,6713.66,income
Uber Ride,1246.46,expense
Freelance Payment,5352.17,income
Amazon Purchase,2905.83,expense
Loan EMI,7938.27,liability
FD Deposit,9639.07,asset
Gold Investment,7310.68,asset
Car Loan EMI,9575.69,liability
Loan EMI,4412.68,liability
Amazon Purchase,2800.18,expense
Amazon Purchase,7722.46,expense
Mutual Fund Investment,5877.86,asset
Gold Investment,2423.65,asset
Gold Investment,5067.44,asset
Credit Card Bill,7883.27,liability
FD Deposit,6498.82,asset
Mutual Fund Investment,2677.27,asset
Electricity Bill,198.51,expense
Electricity Bill,3691.66,expense
Interest Credit,7288.79,income
Freelance Payment,7105.6,income
Gold Investment,9149.88,asset
Freelance Payment,9541.6,income
Freelance Payment,5963.42,income
Amazon Purchase,873.94,expense
Salary Credit,667.52,income
Freelance Payment,995.07,income
Car Loan EMI,6548.35,liability
Home Loan Interest,2028.51,liability
Amazon Purchase,1842.98,expense
Loan EMI,6104.99,liability
Electricity Bill,2916.3,expense
Bonus Received,1157.34,income
Freelance Payment,445.75,income
Credit Card Bill,613.6,liability
Interest Credit,6186.01,income
Swiggy Order,3086.13,expense
Amazon Purchase,5157.68,expense
Electricity Bill,2311.11,expense
Stock Purchase,4557.73,asset
Swiggy Order,5945.6,expense
Gold Investment,7396.05,asset
Freelance Payment,2206.54,income
Car Loan EMI,8825.42,liability
Uber Ride,6744.59,expense
Electricity Bill,2330.13,expense
Gold Investment,5471.24,asset
Swiggy Order,6207.61,expense
Credit Card Bill,7740.11,liability
Loan EMI,1061.22,liability
Freelance Payment,1052.5,income
Uber Ride,9296.02,expense
Freelance Payment,9175.35,income
Freelance Payment,7336.51,income
Car Loan EMI,2526.31,liability
Gold Investment,8404.07,asset
Uber Ride,2787.97,expense
Uber Ride,8112.38,expense
Credit Card Bill,5678.68,liability
Salary Credit,6549.41,income
FD Deposit,3175.76,asset
Electricity Bill,8991.0,expense
Loan EMI,1214.23,liability
Swiggy Order,9197.73,expense
Amazon Purchase,258.54,expense
Mutual Fund Investment,3281.84,asset
Loan EMI,3740.83,liability
Car Loan EMI,2032.45,liability
Swiggy Order,9109.06,expense
Amazon Purchase,5037.58,expense
Swiggy Order,1291.0,expense
Interest Credit,9951.55,income
Electricity Bill,6812.11,expense
Interest Credit,9377.38,income
Salary Credit,5690.19,income
Gold Investment,2754.82,asset
Salary Credit,9727.05,income
Bonus Received,4662.73,income
Electricity Bill,1964.17,expense
Freelance Payment,2404.4,income
Amazon Purchase,4859.52,expense
Salary Credit,9707.86,income
Uber Ride,447.01,expense
Freelance Payment,7368.71,income
Stock Purchase,173.45,asset
Amazon Purchase,8874.02,expense
Bonus Received,189.02,income
Uber Ride,691.82,expense
Bonus Received,4985.41,income
Uber Ride,2553.1,expense
Stock Purchase,2879.47,asset
Salary Credit,7162.65,income
Home Loan Interest,773.02,liability
Loan EMI,4048.46,liability
Freelance Payment,564.54,income
Electricity Bill,8407.13,expense
Swiggy Order,2531.92,expense
Electricity Bill,2651.23,expense
Home Loan Interest,3893.41,liability
Freelance Payment,4493.32,income
Mutual Fund Investment,1217.51,asset
Swiggy Order,8791.89,expense
Swiggy Order,7709.6,expense
Freelance Payment,2281.41,income
Stock Purchase,598.43,asset
Amazon Purchase,7246.08,expense
Swiggy Order,9036.12,expense
Electricity Bill,4542.5,expense
FD Deposit,5057.99,asset
FD Deposit,8415.52,asset
Bonus Received,1382.58,income
Electricity Bill,9445.8,expense
Home Loan Interest,595.59,liability
Uber Ride,9284.27,expense
Uber Ride,6290.41,expense
Salary Credit,9445.98,income
Salary Credit,6767.33,income
Gold Investment,9929.65,asset
Loan EMI,1504.79,liability
Amazon Purchase,5667.36,expense
Stock Purchase,2123.87,asset
Uber Ride,482.08,expense
Mutual Fund Investment,598.75,asset
Gold Investment,9362.66,asset
Uber Ride,9654.75,expense
FD Deposit,7829.55,asset
Gold Investment,5681.92,asset
Stock Purchase,6678.87,asset
Loan EMI,5614.45,liability
Credit Card Bill,6174.91,liability
Uber Ride,8414.36,expense
Freelance Payment,4552.49,income
Salary Credit,1282.2,income
Gold Investment,4181.52,asset
Loan EMI,4416.16,liability
Salary Credit,1817.92,income
Electricity Bill,8105.3,expense
Amazon Purchase,1074.16,expense
Swiggy Order,631.43,expense
Swiggy Order,931.56,expense
Credit Card Bill,6561.6,liability
Salary Credit,7077.68,income
Salary Credit,7259.14,income
Freelance Payment,2721.14,income
Salary Credit,8608.7,income
Electricity Bill,7392.92,expense
FD Deposit,1441.13,asset
Gold Investment,1259.17,asset
Electricity Bill,2024.28,expense
Stock Purchase,3871.16,asset
Salary Credit,5017.93,income
Uber Ride,2186.76,expense
Swiggy Order,7272.28,expense
Mutual Fund Investment,8153.01,asset
Home Loan Interest,6588.33,liability
Gold Investment,9477.21,asset
Salary Credit,5009.26,income
Loan EMI,917.24,liability
Uber Ride,3343.95,expense
FD Deposit,3741.59,asset
Uber Ride,7813.67,expense
Mutual Fund Investment,4655.6,asset
Credit Card Bill,6148.14,liability
Uber Ride,3921.06,expense
FD Deposit,711.46,asset
Bonus Received,6844.52,income
Bonus Received,1604.73,income
Swiggy Order,2725.25,expense
Home Loan Interest,7587.28,liability
FD Deposit,7218.48,asset
Interest Credit,4263.98,income
Swiggy Order,4164.9,expense
Amazon Purchase,8956.23,expense
Uber Ride,1108.54,expense
Amazon Purchase,8280.21,expense
Freelance Payment,779.11,income
Stock Purchase,8724.15,asset
Salary Credit,8570.72,income
Interest Credit,3986.06,income
Electricity Bill,893.37,expense
Freelance Payment,7419.35,income
Gold Investment,3625.87,asset
Loan EMI,6889.09,liability
Interest Credit,189.58,income
Amazon Purchase,3042.59,expense
Bonus Received,933.55,income
Swiggy Order,766.36,expense
Home Loan Interest,5510.15,liability
Uber Ride,3232.05,expense
Mutual Fund Investment,2725.67,asset
FD Deposit,411.66,asset
FD Deposit,1807.62,asset
Loan EMI,2347.59,liability
Loan EMI,2830.64,liability
Bonus Received,3751.66,income
Mutual Fund Investment,693.72,asset
Mutual Fund Investment,1371.45,asset
Loan EMI,3471.22,liability
Loan EMI,5117.07,liability
FD Deposit,2278.41,asset
Bonus Received,8622.42,income
Uber Ride,6922.15,expense
Bonus Received,1301.53,income
Gold Investment,800.31,asset
Home Loan Interest,2029.34,liability
Amazon Purchase,795.57,expense
FD Deposit,9485.55,asset
Swiggy Order,818.07,expense
Mutual Fund Investment,5517.71,asset
Credit Card Bill,4068.34,liability
Home Loan Interest,7877.43,liability
FD Deposit,9109.3,asset
Credit Card Bill,3608.51,liability
Credit Card Bill,5465.91,liability
Electricity Bill,245.24,expense
Uber Ride,9733.02,expense
Gold Investment,1945.67,asset
Loan EMI,3594.93,liability
Salary Credit,5331.25,income
Interest Credit,9629.75,income
Home Loan Interest,5820.11,liability
Bonus Received,1885.87,income
Freelance Payment,9861.84,income
Bonus Received,9209.08,income
Uber Ride,2672.28,expense
Bonus Received,1817.11,income
Uber Ride,9011.08,expense
Home Loan Interest,1458.95,liability
Bonus Received,1573.81,income
Credit Card Bill,6106.28,liability
Car Loan EMI,1686.83,liability
Credit Card Bill,7029.75,liability
Mutual Fund Investment,5575.38,asset
Interest Credit,5279.19,income
Swiggy Order,7107.39,expense
Loan EMI,7195.38,liability
Mutual Fund Investment,2254.34,asset
Gold Investment,9517.7,asset
FD Deposit,9614.95,asset
Uber Ride,1606.03,expense
Swiggy Order,7269.17,expense
Home Loan Interest,3756.99,liability
Amazon Purchase,7372.22,expense
Bonus Received,1388.52,income
Electricity Bill,7363.87,expense
Gold Investment,4072.18,asset
Freelance Payment,8319.83,income
Interest Credit,8603.48,income
Interest Credit,130.26,income
Car Loan EMI,5190.91,liability
Electricity Bill,6728.82,expense
Gold Investment,9430.48,asset
Interest Credit,7754.5,income
Home Loan Interest,1115.89,liability
Bonus Received,5423.81,income
Electricity Bill,8641.78,expense
Electricity Bill,4378.0,expense
Electricity Bill,8549.48,expense
Bonus Received,3027.32,income
Credit Card Bill,5457.05,liability
Gold Investment,4376.87,asset
Electricity Bill,6449.38,expense
Loan EMI,2511.02,liability
Bonus Received,7114.22,income
Car Loan EMI,2323.48,liability
Amazon Purchase,870.36,expense
FD Deposit,4304.56,asset
Car Loan EMI,9708.04,liability
Loan EMI,5798.82,liability
Mutual Fund Investment,6910.15,asset
Car Loan EMI,7667.67,liability
Credit Card Bill,7547.54,liability
Salary Credit,7807.14,income
Credit Card Bill,4305.66,liability
Car Loan EMI,1728.53,liability
Swiggy Order,6678.51,expense
Swiggy Order,5726.14,expense
Car Loan EMI,6553.28,liability
Mutual Fund Investment,7808.86,asset
Stock Purchase,3459.31,asset
Gold Investment,7835.05,asset
Gold Investment,9078.87,asset
Loan EMI,7312.25,liability
Interest Credit,7972.9,income
Car Loan EMI,1576.89,liability
Stock Purchase,797.16,asset
Electricity Bill,3629.32,expense
Interest Credit,3838.39,income
Gold Investment,6965.58,asset
Mutual Fund Investment,2154.84,asset
Bonus Received,4673.41,income
Loan EMI,5250.67,liability
Car Loan EMI,2026.74,liability
Electricity Bill,8448.04,expense
Swiggy Order,9205.3,expense
Electricity Bill,9970.43,expense
Mutual Fund Investment,3063.22,asset
Uber Ride,3957.17,expense
Mutual Fund Investment,2526.73,asset
Bonus Received,1568.89,income
Loan EMI,4582.76,liability
Interest Credit,5610.93,income
Amazon Purchase,1657.14,expense
Credit Card Bill,6430.82,liability
Electricity Bill,1388.22,expense
Bonus Received,8323.68,income
Gold Investment,3008.82,asset
FD Deposit,4485.86,asset
Freelance Payment,209.54,income
FD Deposit,1118.98,asset
Gold Investment,3017.09,asset
Stock Purchase,8585.14,asset
Freelance Payment,4933.51,income
FD Deposit,674.35,asset
Freelance Payment,7882.53,income
Mutual Fund Investment,8039.6,asset
FD Deposit,8558.4,asset
FD Deposit,4536.66,asset
Gold Investment,7215.34,asset
Car Loan EMI,1182.86,liability
Swiggy Order,2752.19,expense
Amazon Purchase,4168.85,expense
Car Loan EMI,7361.11,liability
Credit Card Bill,9068.11,liability
Stock Purchase,1377.97,asset
Gold Investment,2094.64,asset
Interest Credit,7447.73,income
Amazon Purchase,1158.39,expense
Interest Credit,8761.55,income
Credit Card Bill,104.52,liability
Credit Card Bill,7343.04,liability
Amazon Purchase,4327.24,expense
Gold Investment,738.2,asset
Interest Credit,157.14,income
Salary Credit,8298.78,income
Interest Credit,7560.52,income
Gold Investment,1948.05,asset
Car Loan EMI,4623.46,liability
Gold Investment,1330.19,asset
Stock Purchase,3818.44,asset
FD Deposit,5256.48,asset
Credit Card Bill,4481.68,liability
Interest Credit,3744.08,income
Credit Card Bill,8750.77,liability
Stock Purchase,127.82,asset
Car Loan EMI,9677.74,liability
Electricity Bill,6718.86,expense
Stock Purchase,6471.17,asset
Freelance Payment,228.09,income
Home Loan Interest,9229.03,liability
Electricity Bill,2611.42,expense
Freelance Payment,2321.55,income
Home Loan Interest,6714.37,liability
Home Loan Interest,4956.84,liability
Amazon Purchase,6640.14,expense
Salary Credit,2887.01,income
Mutual Fund Investment,3249.54,asset
Swiggy Order,3956.91,expense
Car Loan EMI,2590.5,liability
Uber Ride,5825.81,expense
Salary Credit,4723.56,income
Electricity Bill,9844.68,expense
Interest Credit,3834.61,income
Car Loan EMI,7230.49,liability
Gold Investment,6700.14,asset
Credit Card Bill,6190.66,liability
Home Loan Interest,8565.29,liability
Electricity Bill,2379.04,expense
Freelance Payment,1940.45,income
Amazon Purchase,8714.46,expense
Credit Card Bill,9314.32,liability
Amazon Purchase,3262.42,expense
Electricity Bill,2541.74,expense
Uber Ride,7380.64,expense
Stock Purchase,7859.3,asset
Amazon Purchase,6636.1,expense
Freelance Payment,8856.19,income
Interest Credit,8915.49,income
Salary Credit,1433.89,income
Electricity Bill,3346.42,expense
Mutual Fund Investment,6715.43,asset
Amazon Purchase,3070.99,expense
Bonus Received,4037.15,income
Home Loan Interest,8417.03,liability
Home Loan Interest,6080.06,liability
Mutual Fund Investment,2720.16,asset
FD Deposit,9110.78,asset
Swiggy Order,2702.09,expense
Mutual Fund Investment,8429.91,asset
Swiggy Order,3629.74,expense
Credit Card Bill,4622.15,liability
Bonus Received,8852.7,income
Electricity Bill,2187.08,expense
Stock Purchase,7150.28,asset
Gold Investment,7896.77,asset
Interest Credit,2614.66,income
Salary Credit,1785.47,income
Car Loan EMI,9504.24,liability
Interest Credit,4537.07,income
Salary Credit,7348.0,income
Interest Credit,1625.78,income
Credit Card Bill,1573.0,liability
Bonus Received,7875.69,income
Mutual Fund Investment,7469.23,asset
Loan EMI,5430.39,liability
Salary Credit,7532.66,income
Mutual Fund Investment,3488.14,asset
Bonus Received,8009.93,income
Interest Credit,9785.15,income
Home Loan Interest,6065.96,liability
Freelance Payment,9522.03,income
Mutual Fund Investment,1086.43,asset
Credit Card Bill,8338.96,liability
Credit Card Bill,183.93,liability
Interest Credit,6334.63,income
Bonus Received,3692.14,income
Uber Ride,1900.82,expense
FD Deposit,5567.43,asset
Swiggy Order,3097.13,expense
Salary Credit,9769.76,income
Freelance Payment,2219.23,income
Mutual Fund Investment,5018.69,asset
Home Loan Interest,4248.89,liability
Swiggy Order,189.99,expense
FD Deposit,9730.07,asset
Bonus Received,6397.12,income
Electricity Bill,8708.58,expense
Freelance Payment,398.77,income
Freelance Payment,4030.95,income
Credit Card Bill,732.39,liability
Stock Purchase,8448.5,asset
Electricity Bill,3583.57,expense
Gold Investment,4014.04,asset
Swiggy Order,1689.88,expense
Credit Card Bill,8590.95,liability
Car Loan EMI,9788.93,liability
Freelance Payment,8282.02,income
Car Loan EMI,1299.28,liability
Home Loan Interest,6662.76,liability
Uber Ride,9508.87,expense
FD Deposit,2574.32,asset
Gold Investment,7171.88,asset
Stock Purchase,5457.46,asset
Swiggy Order,5079.6,expense
Home Loan Interest,3294.95,liability
FD Deposit,8428.07,asset
Freelance Payment,7718.85,income
Bonus Received,1272.36,income
Salary Credit,1529.74,income
Home Loan Interest,9908.45,liability
Interest Credit,9177.45,income
Loan EMI,7871.2,liability
Stock Purchase,6819.85,asset
Stock Purchase,5673.47,asset
Home Loan Interest,8511.03,liability
Salary Credit,5183.03,income
Stock Purchase,6530.86,asset
Amazon Purchase,9077.32,expense
Mutual Fund Investment,2568.16,asset
Freelance Payment,3254.08,income
Stock Purchase,1574.69,asset
Loan EMI,9390.5,liability
Bonus Received,6555.23,income
Swiggy Order,8516.35,expense
Home Loan Interest,8597.96,liability
Home Loan Interest,3313.31,liability
Uber Ride,6160.22,expense
Credit Card Bill,6037.82,liability
FD Deposit,3952.26,asset
Bonus Received,8183.27,income
Stock Purchase,7989.25,asset
Uber Ride,7798.3,expense
Stock Purchase,3671.62,asset
Home Loan Interest,6077.78,liability
Home Loan Interest,7727.37,liability
Uber Ride,3370.19,expense
Salary Credit,2788.56,income
Salary Credit,5064.5,income
Salary Credit,180.89,income
Home Loan Interest,946.56,liability
Amazon Purchase,8857.67,expense
Gold Investment,5221.81,asset
Bonus Received,1021.47,income
Gold Investment,693.75,asset
Loan EMI,5548.4,liability
Credit Card Bill,1078.07,liability
Uber Ride,4261.12,expense
Amazon Purchase,554.3,expense
Home Loan Interest,4346.95,liability
Home Loan Interest,4952.68,liability
Bonus Received,7286.63,income
Amazon Purchase,3505.45,expense
Interest Credit,2392.14,income
FD Deposit,6467.43,asset
Credit Card Bill,1962.45,liability
Stock Purchase,1267.26,asset
Freelance Payment,2512.55,income
Amazon Purchase,7092.73,expense
Mutual Fund Investment,746.43,asset
FD Deposit,2972.56,asset
Credit Card Bill,6388.14,liability
Stock Purchase,5963.74,asset
Amazon Purchase,3168.37,expense
Amazon Purchase,943.32,expense
FD Deposit,5675.92,asset
Home Loan Interest,7095.8,liability
Mutual Fund Investment,3348.56,asset
Bonus Received,745.28,income
Salary Credit,9914.05,income
Swiggy Order,7035.98,expense
Interest Credit,6888.73,income
Electricity Bill,5704.06,expense
Interest Credit,3673.17,income
Stock Purchase,3688.45,asset
Freelance Payment,9265.52,income
Swiggy Order,5824.65,expense
Interest Credit,5045.94,income
Loan EMI,6632.19,liability
Car Loan EMI,4660.11,liability
Loan EMI,9513.5,liability
Salary Credit,2071.92,income
Swiggy Order,4906.46,expense
Amazon Purchase,3099.25,expense
Car Loan EMI,341.14,liability
Credit Card Bill,8749.1,liability
Electricity Bill,1606.47,expense
Car Loan EMI,4950.04,liability
Credit Card Bill,2395.59,liability
FD Deposit,9089.95,asset
Bonus Received,3869.66,income
Electricity Bill,9546.67,expense
Credit Card Bill,8718.89,liability
Swiggy Order,1421.16,expense
Uber Ride,6962.36,expense
Mutual Fund Investment,1728.91,asset
Freelance Payment,607.17,income
Mutual Fund Investment,6922.72,asset
Interest Credit,6623.17,income
Loan EMI,7915.12,liability
Car Loan EMI,6844.85,liability
Freelance Payment,3762.05,income
Loan EMI,2512.26,liability
Credit Card Bill,8425.68,liability
Car Loan EMI,7889.84,liability
Mutual Fund Investment,2486.74,asset
Credit Card Bill,112.94,liability
Stock Purchase,6256.47,asset
Bonus Received,2971.01,income
Car Loan EMI,5169.16,liability
Bonus Received,6851.55,income
FD Deposit,8130.3,asset
Loan EMI,128.44,liability
Stock Purchase,4720.28,asset
Uber Ride,6743.98,expense
Mutual Fund Investment,2146.99,asset
Salary Credit,1922.98,income
Amazon Purchase,3151.35,expense
FD Deposit,6673.12,asset
Amazon Purchase,5183.06,expense
Uber Ride,9577.12,expense
Amazon Purchase,8487.93,expense
Credit Card Bill,188.03,liability
Swiggy Order,2477.62,expense
Stock Purchase,8203.98,asset
Car Loan EMI,4713.82,liability
Amazon Purchase,5765.4,expense
Mutual Fund Investment,9909.52,asset
Swiggy Order,3843.04,expense
FD Deposit,9214.05,asset
FD Deposit,2892.77,asset
Gold Investment,7586.56,asset
Freelance Payment,5879.72,income
Home Loan Interest,2633.72,liability
Uber Ride,7004.95,expense
Electricity Bill,8529.96,expense
Swiggy Order,5913.67,expense
Bonus Received,4831.04,income
Swiggy Order,6602.72,expense
Mutual Fund Investment,9827.92,asset
Electricity Bill,4031.81,expense
Credit Card Bill,2270.38,liability
Interest Credit,2536.63,income
Credit Card Bill,7242.48,liability
Gold Investment,4655.04,asset
Freelance Payment,2073.89,income
Home Loan Interest,207.7,liability
Interest Credit,6545.55,income
Stock Purchase,4960.22,asset
Gold Investment,5650.29,asset
Swiggy Order,8110.88,expense
Interest Credit,2042.36,income
Interest Credit,1946.98,income
Car Loan EMI,805.95,liability
Loan EMI,4933.97,liability
Electricity Bill,5674.84,expense
Credit Card Bill,416.13,liability
Gold Investment,1669.94,asset
Amazon Purchase,2818.87,expense
Mutual Fund Investment,5009.79,asset
Car Loan EMI,7500.75,liability
Mutual Fund Investment,6795.5,asset
Interest Credit,950.55,income
Freelance Payment,2878.24,income
Electricity Bill,1838.83,expense
Stock Purchase,2762.86,asset
Credit Card Bill,7646.67,liability
Electricity Bill,9384.23,expense
Swiggy Order,5311.89,expense
Bonus Received,653.92,income
Swiggy Order,613.15,expense
Car Loan EMI,7523.47,liability
FD Deposit,1082.16,asset
Car Loan EMI,7287.89,liability
Electricity Bill,8880.59,expense
Mutual Fund Investment,3146.28,asset
Electricity Bill,3324.51,expense
Interest Credit,3124.12,income
Freelance Payment,6086.89,income
Salary Credit,1016.53,income
Salary Credit,688.3,income
Mutual Fund Investment,3360.15,asset
Freelance Payment,911.8,income
Interest Credit,6054.25,income
Car Loan EMI,6939.72,liability
Interest Credit,3309.85,income
Uber Ride,9130.26,expense
Car Loan EMI,1493.03,liability
Swiggy Order,2791.59,expense
Bonus Received,3205.25,income
Freelance Payment,604.78,income
Salary Credit,3236.91,income
Loan EMI,9850.53,liability
Salary Credit,513.31,income
Uber Ride,7882.52,expense
Credit Card Bill,3100.55,liability
Salary Credit,2823.28,income
Loan EMI,4299.97,liability
Freelance Payment,9698.99,income
Electricity Bill,9104.53,expense
Freelance Payment,2130.3,income
Mutual Fund Investment,7417.3,asset
Home Loan Interest,1724.92,liability
Bonus Received,3373.56,income
FD Deposit,9873.12,asset
Mutual Fund Investment,3680.17,asset
Credit Card Bill,5361.82,liability
Swiggy Order,7461.58,expense
Home Loan Interest,2675.99,liability
Freelance Payment,5154.71,income
Amazon Purchase,2839.08,expense
Uber Ride,109.85,expense
Bonus Received,2452.49,income
Swiggy Order,5215.58,expense
Car Loan EMI,9600.05,liability
Credit Card Bill,9673.4,liability
Interest Credit,8805.63,income
Home Loan Interest,4880.25,liability
Swiggy Order,1249.79,expense
Loan EMI,566.18,liability
Bonus Received,6377.01,income
Gold Investment,5791.68,asset
Car Loan EMI,8808.5,liability
Electricity Bill,9344.29,expense
Freelance Payment,2645.78,income
Car Loan EMI,827.32,liability
Salary Credit,7143.48,income
FD Deposit,6900.26,asset
Swiggy Order,3297.35,expense
FD Deposit,4822.13,asset
Freelance Payment,7843.33,income
Bonus Received,3384.16,income
Interest Credit,406.69,income
Gold Investment,9262.78,asset
Car Loan EMI,7175.11,liability
Interest Credit,7965.62,income
Swiggy Order,5597.97,expense
Swiggy Order,4842.87,expense
Freelance Payment,8912.34,income
Home Loan Interest,7339.83,liability
Interest Credit,8283.39,income
Amazon Purchase,5057.57,expense
FD Deposit,4347.72,asset
FD Deposit,4739.64,asset
Gold Investment,4779.61,asset
Credit Card Bill,8657.57,liability
Car Loan EMI,1968.25,liability
Home Loan Interest,3825.95,liability
Credit Card Bill,3317.73,liability
FD Deposit,2858.71,asset
FD Deposit,6751.39,asset
Interest Credit,5777.36,income
Uber Ride,3656.13,expense
Salary Credit,7740.42,income
Car Loan EMI,8980.02,liability
Loan EMI,9656.49,liability
Home Loan Interest,5007.16,liability
Freelance Payment,9290.77,income
Uber Ride,2546.8,expense
Stock Purchase,1008.53,asset
Car Loan EMI,454.31,liability
Swiggy Order,1804.7,expense
Home Loan Interest,3653.45,liability
Gold Investment,7420.64,asset
Interest Credit,4670.52,income
Uber Ride,6239.98,expense
FD Deposit,7945.08,asset
Swiggy Order,2529.34,expense
FD Deposit,3995.99,asset
Car Loan EMI,1045.02,liability
Amazon Purchase,7587.05,expense
Swiggy Order,4292.25,expense
Gold Investment,7735.53,asset
Gold Investment,4891.45,asset
FD Deposit,544.16,asset
Interest Credit,9135.58,income
Freelance Payment,6282.65,income
Loan EMI,6807.25,liability
Bonus Received,2754.25,income
Interest Credit,8906.93,income
Interest Credit,4990.53,income
FD Deposit,4453.6,asset
Freelance Payment,9442.64,income
Home Loan Interest,5143.58,liability
Bonus Received,5739.34,income
Interest Credit,4407.58,income
Electricity Bill,5755.45,expense
Interest Credit,4361.95,income
Gold Investment,9380.04,asset
Salary Credit,7715.41,income
Mutual Fund Investment,801.43,asset
Gold Investment,385.91,asset
Swiggy Order,7089.58,expense
Interest Credit,5940.27,income
Stock Purchase,5019.65,asset
Stock Purchase,6320.28,asset
Car Loan EMI,9399.09,liability
Home Loan Interest,2084.23,liability
Amazon Purchase,6440.14,expense
Stock Purchase,1986.48,asset
Uber Ride,6240.05,expense
Mutual Fund Investment,8715.63,asset
Electricity Bill,619.96,expense
Car Loan EMI,7113.28,liability
Amazon Purchase,9878.17,expense
Interest Credit,190.31,income
Freelance Payment,9583.97,income
Uber Ride,5934.19,expense
Freelance Payment,6651.39,income
Credit Card Bill,4997.7,liability
Interest Credit,9909.89,income
Home Loan Interest,965.14,liability
Home Loan Interest,349.95,liability
Home Loan Interest,221.02,liability
Stock Purchase,7356.73,asset
FD Deposit,5938.79,asset
Uber Ride,7923.93,expense
Mutual Fund Investment,1147.7,asset
Stock Purchase,1741.11,asset
FD Deposit,3357.88,asset
Credit Card Bill,6605.91,liability
Electricity Bill,1615.54,expense
Freelance Payment,1644.31,income
Freelance Payment,4381.05,income
Stock Purchase,2528.07,asset
Swiggy Order,6908.92,expense
Electricity Bill,142.31,expense
Mutual Fund Investment,1321.18,asset
Mutual Fund Investment,4022.9,asset
Electricity Bill,1456.57,expense
Bonus Received,8144.25,income
Salary Credit,8726.9,income
FD Deposit,7236.04,asset
Salary Credit,1941.32,income
Credit Card Bill,1072.55,liability
Freelance Payment,2370.17,income
Salary Credit,1921.44,income
Credit Card Bill,6802.6,liability
Electricity Bill,2493.07,expense
Bonus Received,3457.96,income
FD Deposit,6138.87,asset
Stock Purchase,6791.35,asset
Loan EMI,2888.6,liability
Credit Card Bill,251.32,liability
Car Loan EMI,2373.84,liability
FD Deposit,2032.74,asset
Amazon Purchase,2731.93,expense
Mutual Fund Investment,9672.84,asset
Stock Purchase,3449.61,asset
Uber Ride,2171.05,expense
Credit Card Bill,9352.78,liability
Mutual Fund Investment,2681.86,asset
Uber Ride,9931.51,expense
Electricity Bill,7130.8,expense
Interest Credit,8141.02,income
Uber Ride,233.2,expense
Mutual Fund Investment,1292.87,asset
Uber Ride,9592.82,expense
Home Loan Interest,5266.18,liability
Home Loan Interest,7735.9,liability
Credit Card Bill,1467.12,liability
Stock Purchase,9337.38,asset
Electricity Bill,6635.52,expense
Electricity Bill,5737.52,expense
Swiggy Order,4921.31,expense
Salary Credit,8698.56,income
Freelance Payment,9526.29,income
Stock Purchase,9351.74,asset
Interest Credit,9311.62,income
Stock Purchase,9682.62,asset
Freelance Payment,2235.22,income
Amazon Purchase,9894.37,expense
Amazon Purchase,1569.72,expense
Interest Credit,5203.72,income
Amazon Purchase,7138.07,expense
