id,description,amount,category
4326,Interest Income,95058.23,income
4327,Accounts Receivable,2304.41,asset
4328,,98253.88,liability
4329,Inventory,8704.6,asset
4330,Utility Expense,81457.24,expense
4331,Loan Payable,28105.44,liability
4332,Service Income,13304.75,income
4333,Tax Payable,44041.58,liability
4334,Loan Payable,64431.26,liability
4335,Rent Expense,38157.09,expense
4336,Utility Expense,5551.08,expense
4337,Salary Expense,59986.17,expense
4338,Service Income,90250.09,income
4339,Salary Expense,38383.22,expense
4340,Prepaid Expense,21711.64,asset
4341,Cash,44313.48,asset
4342,Loan Payable,4931.43,liability
4343,Sales Revenue,82066.71,income
4344,Accounts Receivable,82651.45,asset
4345,Sales Revenue,58841.25,income
4346,,35374.98,asset
4347,Accrued Expenses,79998.36,liability
4348,Equipment,55513.23,asset
4349,Utility Expense,82610.64,expense
4350,Interest Income,63182.73,income
4351,Salary Expense,78462.11,expense
4352,Utility Expense,59896.44,expense
4353,Sales Revenue,41472.69,income
4354,Service Income,95798.79,income
4355,Interest Income,54157.27,income
4356,Cash,60548.44,asset
4357,Tax Payable,22126.72,liability
4358,Utility Expense,62602.51,expense
4359,Sales Revenue,57203.6,income
4360,Rent Expense,18565.36,expense
4361,Accrued Expenses,6052.75,liability
4362,Rent Expense,60475.5,expense
4363,Service Income,invalid,income
4364,Rent Expense,52387.8,expense
4365,Marketing Expense,22754.59,expense
4366,Utility Expense,66685.55,expense
4367,Accounts Payable,8102.56,liability
4368,Equipment,44239.19,asset
4369,Marketing Expense,16420.34,expense
4370,Utility Expense,18527.46,expense
4371,Cash,20309.17,asset
4372,Loan Payable,38732.03,liability
4373,Tax Payable,5209.91,liability
4374,Sales Revenue,39839.56,income
4375,Interest Income,,income
4376,Rent Expense,48381.1,expense
4377,Marketing Expense,38340.13,expense
4378,Tax Payable,83930.75,liability
4379,Cash,14618.14,asset
4380,Loan Payable,50619.1,liability
4381,Rent Expense,6297.94,expense
4382,Rent Expense,7208.45,expense
4383,Utility Expense,57429.2,expense
4384,Accrued Expenses,56645.24,liability
4385,Accrued Expenses,87815.55,liability
4386,Accrued Expenses,55831.58,liability
4387,Salary Expense,95983.12,expense
4388,Utility Expense,,expense
4389,Accounts Receivable,9890.97,asset
4390,Accounts Receivable,4502.18,asset
4391,Utility Expense,18609.16,expense
4392,Interest Income,54172.88,income
4393,Prepaid Expense,64592.66,asset
4394,Prepaid Expense,4653.96,asset
4395,Loan Payable,94602.49,liability
4396,Service Income,84232.32,income
4397,Inventory,29731.59,asset
4398,Prepaid Expense,7811.03,asset
4399,Interest Income,17071.72,income
4400,Accounts Receivable,12781.75,asset
4401,Inventory,12416.05,asset
4402,Accounts Payable,51904.31,liability
4403,Tax Payable,24660.16,liability
4404,Marketing Expense,35878.16,expense
4405,Sales Revenue,98951.58,income
4406,Tax Payable,68462.99,liability
4407,Cash,94903.17,asset
4408,Loan Payable,14341.4,liability
4409,Salary Expense,38275.73,expense
4410,Tax Payable,55517.71,liability
4411,Accounts Payable,7768.13,liability
4412,Service Income,518.33,income
4413,Accounts Receivable,67076.39,asset
4414,Sales Revenue,64217.77,income
4415,Inventory,41137.8,asset
4416,Rent Expense,49015.44,expense
4417,Tax Payable,41602.76,liability
4418,Loan Payable,2498.1,liability
4419,Interest Income,33603.62,income
4420,Accrued Expenses,17790.52,liability
4421,Cash,9932.58,asset
4422,Cash,95676.37,asset
4423,Cash,59976.04,asset
4424,Loan Payable,72892.76,liability
4425,Service Income,31604.84,income
4426,Utility Expense,39375.4,expense
4427,Inventory,23768.71,asset
4428,Cash,9786.87,asset
4429,,17985.26,asset
4430,Service Income,79771.65,income
4431,Service Income,67786.83,income
4432,Equipment,54738.19,asset
4433,Service Income,47561.48,income
4434,Loan Payable,92251.18,liability
4435,Tax Payable,7366.22,liability
4436,Cash,28132.02,asset
4437,Equipment,35058.79,asset
4438,Accounts Payable,78264.34,liability
4439,Sales Revenue,99252.21,income
4440,Interest Income,24142.98,income
4441,Utility Expense,87443.3,expense
4442,Rent Expense,83079.21,expense
4443,Cash,22543.27,asset
4444,Service Income,39993.32,income
4445,Salary Expense,41026.32,expense
4446,Accounts Payable,97824.24,liability
4447,Marketing Expense,18171.1,expense
4448,Equipment,79935.88,asset
4449,Utility Expense,33485.85,expense
4450,Marketing Expense,73113.95,expense
4451,Service Income,42059.1,income
4452,Salary Expense,invalid,expense
4453,Interest Income,83277.92,income
4454,Service Income,80436.14,income
4455,Prepaid Expense,86655.68,asset
4456,,6055.77,asset
4457,Accrued Expenses,69235.85,liability
4458,Service Income,14084.74,income
4459,Salary Expense,41640.27,expense
4460,Tax Payable,54903.98,liability
4461,Accounts Receivable,40333.67,asset
4462,Loan Payable,52009.21,liability
4463,Cash,99652.98,asset
4464,Sales Revenue,13608.21,income
4465,Rent Expense,67578.06,expense
4466,Utility Expense,39660.5,expense
4467,,invalid,expense
4468,Rent Expense,15957.8,expense
4469,Prepaid Expense,94932.38,asset
4470,Equipment,87972.19,asset
4471,Utility Expense,90713.49,expense
4472,Utility Expense,99154.12,expense
4473,Accounts Payable,20910.71,liability
4474,Salary Expense,35608.39,expense
4475,Tax Payable,66954.98,liability
4476,Interest Income,48431.87,income
4477,Accounts Receivable,41897.11,asset
4478,Accounts Receivable,35845.34,asset
4479,Tax Payable,59418.69,liability
4480,Accounts Payable,57601.78,liability
4481,Sales Revenue,16229.64,income
4482,Cash,47226.81,asset
4483,Accrued Expenses,55391.83,liability
4484,Interest Income,57071.67,income
4485,Prepaid Expense,21089.71,asset
4486,Accounts Payable,74252.91,liability
4487,Salary Expense,2617.39,expense
4488,Interest Income,35547.7,income
4489,Accounts Receivable,78043.24,asset
4490,Inventory,56432.9,asset
4491,Marketing Expense,26190.13,expense
4492,Cash,69525.82,asset
4493,Accounts Payable,56782.36,liability
4494,Accounts Payable,79644.74,liability
4495,Loan Payable,73529.02,liability
4496,Prepaid Expense,61049.78,asset
4497,Cash,48868.95,asset
4498,Salary Expense,13404.89,expense
4499,Cash,26207.17,asset
4500,Sales Revenue,41968.04,income
4501,Marketing Expense,59970.0,expense
4502,Prepaid Expense,51419.41,asset
4503,Tax Payable,28889.63,liability
4504,Interest Income,745.79,income
4505,Cash,49674.3,asset
4506,Tax Payable,28634.04,liability
4507,Interest Income,73487.37,income
4508,Equipment,2492.23,asset
4509,Tax Payable,58524.3,liability
4510,Prepaid Expense,94153.28,asset
4511,Accounts Payable,17523.49,liability
4512,Marketing Expense,47217.78,expense
4513,Service Income,9233.06,income
4514,Accrued Expenses,62605.62,liability
4515,Accrued Expenses,55098.11,liability
4516,Loan Payable,40795.82,liability
4517,Accounts Receivable,52185.56,asset
4518,Marketing Expense,89667.81,expense
4519,Sales Revenue,19709.8,income
4520,Interest Income,2354.19,income
4521,Tax Payable,86180.32,liability
4522,Service Income,57754.0,income
4523,Prepaid Expense,89076.78,asset
4524,Accounts Payable,59734.83,liability
4525,Salary Expense,81035.09,expense
4526,Utility Expense,43024.37,expense
4527,Interest Income,75011.01,income
4528,Utility Expense,91312.84,expense
4529,Tax Payable,57255.08,liability
4530,Marketing Expense,18160.44,expense
4531,Salary Expense,26952.88,expense
4532,Salary Expense,19944.59,expense
4533,Salary Expense,24761.02,expense
4534,Interest Income,30710.9,income
4535,Marketing Expense,55557.87,expense
4536,Prepaid Expense,58840.36,asset
4537,Sales Revenue,42707.32,income
4538,Utility Expense,61580.54,expense
4539,Accrued Expenses,8249.34,liability
4540,Accounts Payable,8870.04,liability
4541,Prepaid Expense,17265.76,asset
4542,Tax Payable,51855.94,liability
4543,Utility Expense,21478.07,expense
4544,Cash,28400.11,asset
4545,Tax Payable,40091.25,liability
4546,Accrued Expenses,81205.43,liability
4547,Accrued Expenses,1484.83,liability
4548,Accounts Payable,,liability
4549,Tax Payable,66920.77,liability
4550,Accrued Expenses,79885.71,liability
4551,Salary Expense,93282.02,expense
4552,Prepaid Expense,2111.77,asset
4553,Salary Expense,15462.99,expense
4554,Service Income,invalid,income
4555,Sales Revenue,45906.0,income
4556,Interest Income,56502.6,income
4557,Interest Income,66336.42,income
4558,Interest Income,67938.75,income
4559,Interest Income,93180.87,income
4560,Interest Income,99695.25,income
4561,Sales Revenue,72043.73,income
4562,Accrued Expenses,28793.4,liability
4563,Sales Revenue,87987.26,income
4564,Salary Expense,5017.17,expense
4565,Interest Income,23184.98,income
4566,Salary Expense,89748.83,expense
4567,Interest Income,25693.53,income
4568,Salary Expense,22143.04,expense
4569,Tax Payable,13898.72,liability
4570,Accrued Expenses,85925.26,liability
4571,Equipment,50055.82,asset
4572,Marketing Expense,67521.83,expense
4573,Tax Payable,23982.73,liability
4574,Rent Expense,75828.24,expense
4575,Service Income,76024.55,income
4576,Tax Payable,31328.54,liability
4577,Accounts Receivable,41127.2,asset
4578,Accrued Expenses,21048.06,liability
4579,Tax Payable,97658.45,liability
4580,Salary Expense,64595.7,expense
4581,Service Income,93460.93,income
4582,Salary Expense,invalid,expense
4583,Sales Revenue,,income
4584,Interest Income,76609.28,income
4585,Loan Payable,69196.4,liability
4586,Service Income,96567.33,income
4587,Marketing Expense,39416.18,expense
4588,Loan Payable,13158.66,liability
4589,Accounts Receivable,67203.72,asset
4590,Tax Payable,72958.05,liability
4591,,57548.55,liability
4592,Marketing Expense,20761.11,expense
4593,Sales Revenue,50495.15,income
4594,Accounts Payable,31287.75,liability
4595,Interest Income,42803.91,income
4596,Rent Expense,64557.34,expense
4597,Accrued Expenses,74546.95,liability
4598,Rent Expense,23299.25,expense
4599,Inventory,40592.0,asset
4600,Accrued Expenses,26989.24,liability
4601,Accrued Expenses,19943.3,liability
4602,Loan Payable,78360.38,liability
4603,Accrued Expenses,90934.34,liability
4604,Loan Payable,37086.2,liability
4605,Equipment,75152.76,asset
4606,Accrued Expenses,89709.83,liability
4607,Interest Income,84627.81,income
4608,Accrued Expenses,18363.06,liability
4609,Rent Expense,95633.56,expense
4610,Interest Income,37729.98,income
4611,Utility Expense,33990.14,expense
4612,Salary Expense,6336.89,expense
4613,Tax Payable,48668.75,liability
4614,Salary Expense,10990.46,expense
4615,Loan Payable,24929.13,liability
4616,Utility Expense,31762.57,expense
4617,Interest Income,80901.75,income
4618,Sales Revenue,87561.32,income
4619,Rent Expense,30316.39,expense
4620,Utility Expense,85883.94,expense
4621,Loan Payable,85737.37,liability
4622,,76488.63,expense
4623,Marketing Expense,14754.84,expense
4624,Tax Payable,69063.25,liability
4625,Prepaid Expense,94507.9,asset
4626,Interest Income,68285.79,income
4627,Loan Payable,33228.52,liability
4628,Salary Expense,50107.87,expense
4629,Service Income,,income
4630,Utility Expense,51105.98,expense
4631,Marketing Expense,12083.3,expense
4632,Service Income,31275.2,income
4633,Prepaid Expense,80259.36,asset
4634,Equipment,86155.66,asset
4635,Interest Income,13816.27,income
4636,Interest Income,95243.44,income
4637,Prepaid Expense,32949.38,asset
4638,Interest Income,66265.14,income
4639,Service Income,75207.33,income
4640,Tax Payable,81213.43,liability
4641,Prepaid Expense,94580.4,asset
4642,Loan Payable,31360.66,liability
4643,Prepaid Expense,85864.79,asset
4644,Utility Expense,13255.52,expense
4645,Accounts Payable,70533.59,liability
4646,Accrued Expenses,74223.58,liability
4647,Salary Expense,67804.55,expense
4648,Accounts Payable,25306.24,liability
4649,Accrued Expenses,87317.01,liability
4650,Cash,16968.96,asset
4651,Accrued Expenses,5458.12,liability
4652,Salary Expense,71774.75,expense
4653,Salary Expense,47600.02,expense
4654,Interest Income,84924.89,income
4655,Accrued Expenses,38401.37,liability
4656,,,expense
4657,Marketing Expense,83660.58,expense
4658,Marketing Expense,54936.07,expense
4659,Interest Income,19000.66,income
4660,Rent Expense,72066.36,expense
4661,Marketing Expense,51160.25,expense
4662,Sales Revenue,60470.87,income
4663,Salary Expense,46143.74,expense
4664,Tax Payable,82888.03,liability
4665,Prepaid Expense,82973.32,asset
4666,Interest Income,70967.94,income
4667,Prepaid Expense,10629.6,asset
4668,Tax Payable,83901.5,liability
4669,Service Income,67134.2,income
4670,Accrued Expenses,69732.71,liability
4671,Tax Payable,36361.99,liability
4672,Cash,87940.03,asset
4673,Accounts Receivable,72564.62,asset
4674,Salary Expense,11347.79,expense
4675,Inventory,40837.03,asset
4676,Equipment,88649.4,asset
4677,Equipment,4814.95,asset
4678,Sales Revenue,96145.52,income
4679,Prepaid Expense,67948.34,asset
4680,Sales Revenue,63174.46,income
4681,Equipment,27128.87,asset
4682,Loan Payable,24954.3,liability
4683,Prepaid Expense,94211.62,asset
4684,Accounts Payable,29897.42,liability
4685,Accounts Payable,77572.98,liability
4686,Accounts Receivable,39372.87,asset
4687,Cash,14011.48,asset
4688,Inventory,1170.46,asset
4689,Accounts Payable,54471.31,liability
4690,Interest Income,97580.3,income
4691,Inventory,36976.71,asset
4692,Accrued Expenses,35783.51,liability
4693,Rent Expense,34474.75,expense
4694,Marketing Expense,52102.33,expense
4695,Salary Expense,44122.42,expense
4696,Salary Expense,88003.47,expense
4697,Prepaid Expense,50601.53,asset
4698,Interest Income,,income
4699,Rent Expense,13923.32,expense
4700,Interest Income,98275.68,income
4701,Sales Revenue,25072.29,income
4702,Sales Revenue,7429.07,income
4703,Accounts Receivable,66348.31,asset
4704,Loan Payable,59577.1,liability
4705,Accrued Expenses,41573.05,liability
4706,Equipment,42277.0,asset
4707,Inventory,78527.89,asset
4708,Accrued Expenses,19651.69,liability
4709,Accounts Payable,82043.31,liability
4710,Marketing Expense,64909.84,expense
4711,Accrued Expenses,41955.08,liability
4712,Marketing Expense,45857.06,expense
4713,Accounts Payable,25739.06,liability
4714,Utility Expense,75236.22,expense
4715,Utility Expense,51336.19,expense
4716,Accrued Expenses,32153.37,liability
4717,Rent Expense,59645.41,expense
4718,Equipment,99573.87,asset
4719,Sales Revenue,43582.7,income
4720,Service Income,92077.07,income
4721,Inventory,34567.18,asset
4722,Interest Income,5567.8,income
4723,Equipment,20503.79,asset
4724,Sales Revenue,41927.64,income
4725,Accrued Expenses,22041.53,liability
4726,Rent Expense,122.68,expense
4727,Accounts Receivable,91508.65,asset
4728,Accounts Payable,84403.55,liability
4729,Loan Payable,74254.99,liability
4730,Sales Revenue,16864.68,income
4731,Salary Expense,12124.32,expense
4732,Service Income,6853.71,income
4733,Cash,72430.52,asset
4734,Accounts Payable,92887.92,liability
4735,Accounts Payable,43110.53,liability
4736,Accounts Receivable,12002.15,asset
4737,Prepaid Expense,51288.04,asset
4738,Interest Income,34948.31,income
4739,Service Income,37545.01,income
4740,Prepaid Expense,62170.93,asset
4741,Prepaid Expense,71899.94,asset
4742,Accrued Expenses,11149.3,liability
4743,Accrued Expenses,3655.46,liability
4744,Salary Expense,99433.6,expense
4745,Interest Income,23349.56,income
4746,Salary Expense,5477.67,expense
4747,Accrued Expenses,19068.55,liability
4748,Marketing Expense,3991.89,expense
4749,Tax Payable,39241.91,liability
4750,Marketing Expense,80259.94,expense
4751,Rent Expense,34190.32,expense
4752,Cash,44473.92,asset
4753,Utility Expense,67591.12,expense
4754,Rent Expense,50938.52,expense
4755,Utility Expense,86158.42,expense
4756,Interest Income,86616.96,income
4757,,1090.08,asset
4758,Sales Revenue,77826.83,income
4759,Rent Expense,46127.29,expense
4760,Inventory,98885.17,asset
4761,Rent Expense,48374.88,expense
4762,Accounts Payable,98690.9,liability
4763,Interest Income,75481.48,income
4764,Tax Payable,24935.63,liability
4765,Marketing Expense,53885.66,expense
4766,Marketing Expense,99214.35,expense
4767,Utility Expense,85767.31,expense
4768,Interest Income,9826.95,income
4769,Marketing Expense,70666.56,expense
4770,Marketing Expense,34623.4,expense
4771,Accounts Payable,797.53,liability
4772,Accounts Receivable,40407.75,asset
4773,Salary Expense,23551.97,expense
4774,Accounts Payable,81905.04,liability
4775,Loan Payable,33799.33,liability
4776,Accounts Payable,82769.62,liability
4777,Loan Payable,159.73,liability
4778,Prepaid Expense,30851.13,asset
4779,Prepaid Expense,24192.4,asset
4780,Sales Revenue,23433.38,income
4781,Interest Income,6911.84,income
4782,Service Income,18793.71,income
4783,Marketing Expense,55599.4,expense
4784,Sales Revenue,29206.97,income
4785,Interest Income,41797.74,income
4786,Inventory,37749.0,asset
4787,Salary Expense,87602.9,expense
4788,Accrued Expenses,90539.37,liability
4789,Salary Expense,49346.4,expense
4790,Utility Expense,33082.58,expense
4791,Prepaid Expense,10769.39,asset
4792,Service Income,95344.95,income
4793,Cash,6116.67,asset
4794,Loan Payable,,liability
4795,Service Income,29876.81,income
4796,Sales Revenue,32108.09,income
4797,Sales Revenue,16512.26,income
4798,Inventory,78337.83,asset
4799,Cash,12337.54,asset
4800,Rent Expense,63527.18,expense
4801,Sales Revenue,12472.22,income
4802,Marketing Expense,7146.51,expense
4803,Tax Payable,90952.01,liability
4804,Loan Payable,19093.86,liability
4805,Utility Expense,invalid,expense
4806,Sales Revenue,54508.62,income
4807,Utility Expense,7877.87,expense
4808,Marketing Expense,95549.27,expense
4809,Equipment,24771.42,asset
4810,Sales Revenue,85978.57,income
4811,Tax Payable,16964.12,liability
4812,Marketing Expense,85408.89,expense
4813,Marketing Expense,1421.56,expense
4814,Accounts Receivable,51226.87,asset
4815,Sales Revenue,76967.31,income
4816,Tax Payable,93486.07,liability
4817,Interest Income,90929.29,income
4818,Sales Revenue,81980.52,income
4819,Interest Income,88830.32,income
4820,Prepaid Expense,20002.05,asset
4821,Rent Expense,28490.01,expense
4822,Sales Revenue,28967.96,income
4823,Rent Expense,37767.69,expense
4824,Cash,39392.73,asset
4825,Prepaid Expense,54501.08,asset
4826,Prepaid Expense,16071.99,asset
4827,Salary Expense,69155.54,expense
4828,Service Income,16839.9,income
4829,Accrued Expenses,31099.82,liability
4830,Rent Expense,50384.18,expense
4831,Rent Expense,79664.41,expense
4832,Accrued Expenses,73972.98,liability
4833,Prepaid Expense,64588.88,asset
4834,,15661.75,liability
4835,Marketing Expense,54749.83,expense
4836,Accrued Expenses,8835.91,liability
4837,Utility Expense,37798.58,expense
4838,Interest Income,41410.3,income
4839,Prepaid Expense,4077.16,asset
4840,Inventory,27471.41,asset
4841,Accounts Payable,95569.38,liability
4842,Accrued Expenses,95367.9,liability
4843,Sales Revenue,35297.47,income
4844,Interest Income,4405.7,income
4845,Salary Expense,17991.58,expense
4846,Tax Payable,39282.56,liability
4847,Equipment,94783.19,asset
4848,Cash,14205.79,asset
4849,Sales Revenue,76375.23,income
4850,Sales Revenue,10957.39,income
4851,Utility Expense,98127.63,expense
4852,Accounts Payable,38223.49,liability
4853,Accrued Expenses,77545.93,liability
4854,Cash,34324.85,asset
4855,Equipment,62804.12,asset
4856,Sales Revenue,19282.41,income
4857,Sales Revenue,14687.5,income
4858,Loan Payable,93812.61,liability
4859,Rent Expense,91772.96,expense
4860,Accounts Receivable,88758.15,asset
4861,Utility Expense,62580.8,expense
4862,Equipment,80845.99,asset
4863,Marketing Expense,6996.79,expense
4864,Loan Payable,33545.43,liability
4865,Service Income,31438.94,income
4866,Cash,63600.97,asset
4867,Interest Income,35660.18,income
4868,Sales Revenue,14935.83,income
4869,Tax Payable,59687.06,liability
4870,Prepaid Expense,81456.95,asset
4871,Service Income,38274.14,income
4872,Tax Payable,13313.64,liability
4873,Accrued Expenses,19749.15,liability
4874,Inventory,23824.58,asset
4875,Accrued Expenses,30059.77,liability
4876,Rent Expense,64315.23,expense
4877,Rent Expense,60134.45,expense
4878,Cash,69638.38,asset
4879,Salary Expense,36313.95,expense
4880,Utility Expense,82417.37,expense
4881,Equipment,20488.36,asset
4882,Utility Expense,46957.17,expense
4883,Tax Payable,80113.78,liability
4884,Accounts Payable,18097.85,liability
4885,Utility Expense,11075.33,expense
4886,Cash,88380.03,asset
4887,Cash,34358.67,asset
4888,Utility Expense,68418.63,expense
4889,Sales Revenue,2632.33,income
4890,Equipment,69035.68,asset
4891,Accrued Expenses,31678.52,liability
4892,Rent Expense,5668.51,expense
4893,Tax Payable,61020.29,liability
4894,Equipment,24156.3,asset
4895,Interest Income,38742.04,income
4896,Sales Revenue,8150.02,income
4897,Inventory,14801.61,asset
4898,Service Income,29867.93,income
4899,Loan Payable,9066.97,liability
4900,Salary Expense,91091.54,expense
4901,Cash,,asset
4902,Marketing Expense,48437.64,expense
4903,Interest Income,12412.42,income
4904,Inventory,30837.14,asset
4905,Service Income,92613.35,income
4906,Equipment,16253.29,asset
4907,Prepaid Expense,96586.65,asset
4908,Loan Payable,20658.86,liability
4909,Tax Payable,74182.45,liability
4910,Rent Expense,54713.06,expense
4911,Sales Revenue,88459.42,income
4912,Accounts Receivable,55443.93,asset
4913,Utility Expense,53502.47,expense
4914,,19626.25,income
4915,Rent Expense,16706.31,expense
4916,Sales Revenue,91657.27,income
4917,Service Income,32851.04,income
4918,Tax Payable,37271.02,liability
4919,Rent Expense,76006.38,expense
4920,Prepaid Expense,33948.47,asset
4921,Interest Income,95211.04,income
4922,Accounts Payable,73818.98,liability
4923,Accrued Expenses,59783.18,liability
4924,Utility Expense,88101.43,expense
4925,Loan Payable,5055.63,liability
4926,Accrued Expenses,25780.56,liability
4927,Interest Income,46557.13,income
4928,Accounts Payable,22775.16,liability
4929,Cash,74416.13,asset
4930,Equipment,91928.88,asset
4931,,42434.63,asset
4932,Interest Income,34279.05,income
4933,Inventory,96158.92,asset
4934,Service Income,44540.76,income
4935,Equipment,48955.94,asset
4936,Sales Revenue,35229.82,income
4937,Inventory,,asset
4938,Accrued Expenses,56938.65,liability
4939,Service Income,76241.24,income
4940,Loan Payable,81199.49,liability
4941,Interest Income,34250.72,income
4942,Tax Payable,43426.06,liability
4943,Prepaid Expense,84862.33,asset
4944,Accounts Payable,36389.21,liability
4945,Accounts Payable,79414.12,liability
4946,Accrued Expenses,94105.13,liability
4947,Prepaid Expense,invalid,asset
4948,Accounts Payable,74188.57,liability
4949,Cash,80529.22,asset
4950,Interest Income,84519.46,income
4951,Marketing Expense,invalid,expense
4952,Equipment,5221.22,asset
4953,Sales Revenue,40247.44,income
4954,Rent Expense,67408.25,expense
4955,Rent Expense,45090.0,expense
4956,Rent Expense,74921.42,expense
4957,Service Income,35762.54,income
4958,Interest Income,63510.94,income
4959,Accrued Expenses,18723.34,liability
4960,Interest Income,74962.01,income
4961,Rent Expense,54615.03,expense
4962,Rent Expense,20486.03,expense
4963,Accounts Payable,29261.93,liability
4964,Sales Revenue,74886.01,income
4965,Interest Income,48311.86,income
4966,Salary Expense,21681.54,expense
4967,Accounts Receivable,96730.39,asset
4968,Accrued Expenses,71540.99,liability
4969,Interest Income,95717.77,income
4970,Inventory,42767.79,asset
4971,Sales Revenue,47562.52,income
4972,Accounts Payable,89805.73,liability
4973,,52552.43,liability
4974,Loan Payable,70757.16,liability
4975,Equipment,25292.07,asset
4976,Tax Payable,44727.97,liability
4977,Accounts Payable,12432.64,liability
4978,Marketing Expense,20677.41,expense
4979,Marketing Expense,194.25,expense
4980,Utility Expense,4022.58,expense
4981,Utility Expense,97730.65,expense
4982,Equipment,24311.13,asset
4983,Sales Revenue,invalid,income
4984,Accrued Expenses,invalid,liability
4985,Accrued Expenses,55110.98,liability
4986,Cash,15399.14,asset
4987,Accrued Expenses,72838.83,liability
4988,Interest Income,60065.12,income
4989,Sales Revenue,73151.93,income
4990,Inventory,76997.69,asset
4991,Inventory,97543.5,asset
4992,Marketing Expense,57398.97,expense
4993,Inventory,34229.95,asset
4994,Cash,64881.61,asset
4995,Accrued Expenses,6937.23,liability
4996,Cash,invalid,asset
4997,Marketing Expense,12026.16,expense
4998,Loan Payable,32851.5,liability
4999,Sales Revenue,81592.96,income
5000,Accounts Payable,59771.51,liability
5001,Loan Payable,39424.19,liability
5002,Interest Income,47396.22,income
5003,Utility Expense,85469.28,expense
5004,Interest Income,34066.44,income
5005,Marketing Expense,86978.0,expense
5006,Prepaid Expense,8904.63,asset
5007,Accounts Payable,77702.16,liability
5008,Utility Expense,84770.01,expense
5009,Service Income,18263.58,income
5010,Salary Expense,,expense
5011,Utility Expense,16633.43,expense
5012,Service Income,70689.75,income
5013,Accounts Receivable,53581.24,asset
5014,Salary Expense,63568.8,expense
5015,Salary Expense,19729.05,expense
5016,Accounts Receivable,21253.41,asset
5017,Rent Expense,4245.58,expense
5018,Marketing Expense,32274.55,expense
5019,Salary Expense,56018.49,expense
5020,Service Income,85807.7,income
5021,Interest Income,66726.05,income
5022,Marketing Expense,43596.09,expense
5023,Rent Expense,95316.7,expense
5024,Sales Revenue,71952.6,income
5025,Loan Payable,93023.5,liability
5026,Loan Payable,52806.04,liability
5027,Loan Payable,25964.54,liability
5028,Rent Expense,5377.39,expense
5029,Interest Income,72635.88,income
5030,Inventory,12218.17,asset
5031,Interest Income,30347.24,income
5032,Accounts Payable,53293.84,liability
5033,Tax Payable,56485.22,liability
5034,Accounts Payable,60098.26,liability
5035,Accounts Payable,16708.91,liability
5036,Loan Payable,invalid,liability
5037,Prepaid Expense,61757.7,asset
5038,Prepaid Expense,96984.9,asset
5039,Tax Payable,72790.35,liability
5040,Rent Expense,92268.12,expense
5041,Service Income,76244.98,income
5042,Interest Income,59212.53,income
5043,Marketing Expense,19283.13,expense
5044,Utility Expense,66701.9,expense
5045,Tax Payable,62375.62,liability
5046,Prepaid Expense,60286.67,asset
5047,Tax Payable,49029.61,liability
5048,Accounts Receivable,52912.79,asset
5049,Tax Payable,33510.81,liability
5050,Prepaid Expense,51979.34,asset
5051,Sales Revenue,19835.83,income
5052,Salary Expense,80536.92,expense
5053,Loan Payable,18659.12,liability
5054,Service Income,8588.13,income
5055,Prepaid Expense,43680.98,asset
5056,Salary Expense,65864.91,expense
5057,Utility Expense,43827.91,expense
5058,Marketing Expense,27747.74,expense
5059,Salary Expense,55861.3,expense
5060,Accounts Payable,,liability
5061,Interest Income,93293.48,income
5062,Inventory,92272.25,asset
5063,Tax Payable,50286.94,liability
5064,Marketing Expense,32855.61,expense
5065,Rent Expense,73739.53,expense
5066,Rent Expense,3767.62,expense
5067,Salary Expense,47529.42,expense
5068,Prepaid Expense,33698.71,asset
5069,Tax Payable,92061.53,liability
5070,Service Income,1299.1,income
5071,Interest Income,55326.21,income
5072,Interest Income,74092.29,income
5073,Sales Revenue,48553.3,income
5074,Utility Expense,8631.76,expense
5075,Prepaid Expense,97248.89,asset
5076,Cash,51849.24,asset
5077,Accounts Receivable,61457.21,asset
5078,Sales Revenue,23737.32,income
5079,Marketing Expense,48401.46,expense
5080,Interest Income,42972.03,income
5081,Inventory,7582.09,asset
5082,Loan Payable,10705.42,liability
5083,Salary Expense,83763.5,expense
5084,Utility Expense,24058.01,expense
5085,Utility Expense,19576.33,expense
5086,Accounts Receivable,50540.65,asset
5087,Marketing Expense,invalid,expense
5088,Salary Expense,6288.46,expense
5089,Accounts Payable,57723.11,liability
5090,Prepaid Expense,12009.12,asset
5091,Accounts Receivable,3742.46,asset
5092,Salary Expense,5369.12,expense
5093,Inventory,83432.99,asset
5094,Loan Payable,invalid,liability
5095,,4610.62,income
5096,Equipment,43846.2,asset
5097,Salary Expense,84414.95,expense
5098,Equipment,26314.6,asset
5099,Cash,42229.09,asset
5100,Tax Payable,4088.26,liability
5101,Cash,44962.94,asset
5102,Salary Expense,57803.55,expense
5103,Accounts Payable,57133.61,liability
5104,Accounts Receivable,33309.43,asset
5105,Accrued Expenses,31621.76,liability
5106,Accounts Payable,10751.7,liability
5107,Rent Expense,invalid,expense
5108,Salary Expense,10039.52,expense
5109,Loan Payable,76682.93,liability
5110,Cash,96630.8,asset
5111,Service Income,97010.44,income
5112,Marketing Expense,86520.6,expense
5113,Tax Payable,60119.14,liability
5114,Accounts Payable,70116.48,liability
5115,Utility Expense,28592.06,expense
5116,Accrued Expenses,63113.96,liability
5117,Interest Income,45619.39,income
5118,Accounts Receivable,48253.53,asset
5119,Equipment,75801.88,asset
